word,count
Теперь,103
ночь,102
любил,102
именно,102
думать,102
дорогу,102
Марье,102
Для,102
сел,101
полка,101
лиц,101
графини,101
власть,101
цель,100
французски,100
завтра,100
v,100
почему,99
одну,99
кричал,99
другого,99
гостиной,99
будут,99
пока,98
каким,98
указывая,97
офицера,97
народа,97
любовь,97
делал,97
Из,97
Бориса,97
узнал,96
сторону,96
слышал,96
середине,96
положении,96
полк,96
повторил,96
смотрели,95
сиятельство,95
свете,95
буду,95
Ростову,95
хотелось,94
думаю,94
То,94
Еще,94
mais,94
тихо,93
звуки,93
встал,93
Петербург,93
Берг,93
слезы,92
сердито,92
оглянулся,92
людьми,92
заметил,92
вышла,92
вечер,92
Наташей,92
Александр,92
туда,91
должна,91
главнокомандующего,91
власти,91
ведь,91
Ведь,91
tout,91
ожидая,90
князем,90
зная,90
государю,90
сидела,89
платье,89
наконец,89
вид,89
взглядом,89
Кто,89
скорее,88
самый,88
просто,88
понимал,88
офицеров,88
желая,88
глазах,88
брат,88
Растопчин,88
Богу,88
шел,87
сюда,87
русской,87
места,87
менее,87
зачем,87
взглянул,87
dans,87
русского,86
образом,86
неприятеля,86
историки,86
вами,86
Дмитриевна,86
on,86
чувствовала,85
цели,85
стараясь,85
смотрела,85
почувствовал,85
последнее,85
понимаю,85
поле,85
наши,85
находился,85
мало,85
женщины,85
Потом,85
Один,85
Москва,85
Болконского,85
чуть,84
спросила,84
письма,84
народ,84
дочери,84
вследствие,84
воли,84
Разговор,84
Анатоля,84
plus,84
хочет,83
правда,83
необходимости,83
какая,83
деле,83
говоря,83
верно,83
Кутузову,83
Во,83
x,83
самом,82
причины,82
никого,82
император,82
знаешь,82
Чтó,82
bien,82
хочу,81
сами,81
раненых,81
наш,81
какие,81
другим,81
главное,81
генерала,81
видал,81
большой,81
Слова,81
Лицо,81
Бонапарте,81
солдата,80
послышался,80
пленных,80
жены,80
ехал,80
Несвицкий,80
xii,80
толпы,79
столько,79
скажу,79
самых,79
самой,79
приказания,79
отвечала,79
обеда,79
велел,79
Государь,79
xvi,79
j,79
хотела,78
слушал,78
оглядываясь,78
иметь,78
значение,78
году,78
армия,78
ix,78
comme,78
шопотом,77
французского,77
такого,77
сражении,77
события,77
начала,77
напротив,77
командир,77
брата,77
ближе,77
Через,77
чувства,76
французами,76
утра,76
спрашивал,76
мире,76
м,76
имеет,76
беспрестанно,76
Несмотря,76
chère,76
свободы,75
дочь,75
дороги,75
весьма,75
Бога,75
xix,75
случае,74
прошел,74
право,74
ночи,74
мной,74
легко,74
испытывал,74
домой,74
действительно,74
близко,74
Отчего,74
Если,74
Анны,74
xiv,74
xi,74
vii,74
ai,74
шли,73
ти,73
сзади,73
иначе,73
желал,73
другом,73
далеко,73
гостиную,73
войне,73
вечера,73
vi,73
часть,72
часов,72
хоть,72
увидав,72
руках,72
разных,72
рад,72
равно,72
ногами,72
никакого,72
неожиданно,72
мужа,72
идет,72
гостей,72
Андреич,72
xv,72
xiii,72
успел,71
странно,71
спокойно,71
одном,71
молодого,71
конце,71
дурно,71
делали,71
внимание,71
К,71
xviii,71
votre,71
французской,70
столь,70
сила,70
отвечая,70
горе,70
вполне,70
Очень,70
Несколько,70
viii,70
штаб,69
состоянии,69
самые,69
невозможно,69
княжну,69
кампании,69
жить,69
другими,69
Пьером,69
si,69
страх,68
старик,68
словами,68
разговора,68
одному,68
история,68
деньги,68
cher,68
отчего,67
одним,67
новое,67
могут,67
мира,67
минут,67
всякий,67
вспомнил,67
Сони,67
Боже,67
человеком,66
участие,66
таких,66
смотреть,66
случилось,66
русский,66
представить,66
подошла,66
испуганно,66
души,66
громко,66
вопросы,66
вероятно,66
Билибин,66
шагами,65
числе,65
уехал,65
тою,65
строки,65
строго,65
страшно,65
сидели,65
получил,65
оттого,65
отношении,65
остановилась,65
никому,65
мост,65
желание,65
дел,65
дал,65
графу,65
всему,65
xvii,65
французских,64
толпа,64
стола,64
сердце,64
раза,64
радости,64
пришел,64
последний,64
писал,64
первого,64
новые,64
наших,64
знали,64
д,64
Тихон,64
Безухова,64
француз,63
слегка,63
сказали,63
речи,63
последние,63
плечами,63
план,63
деятельность,63
Старый,63
Разве,63
При,63
Илья,63
чувствуя,62
человеку,62
считал,62
стояла,62
самым,62
пред,62
послышались,62
офицеры,62
кабинет,62
ею,62
доктор,62
деревне,62
хотите,61
французские,61
руке,61
мое,61
известие,61
другую,61
выше,61
война,61
внимания,61
вместо,61
адъютанта,61
Багратиона,61
au,61
четыре,60
части,60
трудно,60
смерть,60
слышались,60
сильнее,60
рядом,60
рассказывал,60
поля,60
перевода,60
одни,60
народов,60
нами,60
лицами,60
изредка,60
гусар,60
войско,60
nicolas,60
трех,59
тело,59
старался,59
постоянно,59
перебил,59
общества,59
оба,59
ногу,59
мгновение,59
лежал,59
Кроме,59
Ипполит,59
empereur,59
хочешь,58
ума,58
такая,58
столу,58
продолжала,58
пошла,58
полковник,58
мальчик,58
жил,58
виде,58
хуже,57
ходить,57
также,57
стол,57
степени,57
поцеловал,57
полку,57
показалось,57
одинаково,57
любить,57
кому,57
дней,57
действие,57
движением,57
господа,57
виноват,57
везде,57
Со,57
Ничего,57
Наполеоном,57
Ей,57
чему,56
ходил,56
улыбнулась,56
тобой,56
силу,56
сделали,56
самому,56
рассказал,56
приказание,56
понимая,56
положения,56
позиции,56
орудия,56
неприятно,56
крики,56
которыми,56
жалко,56
деятельности,56
год,56
вниз,56
взяв,56
Соне,56
Марьей,56
Балашев,56
homme,56
утром,55
такою,55
счастье,55
сначала,55
понимать,55
поднял,55
первых,55
отвернулся,55
одною,55
мир,55
людям,55
которою,55
конца,55
духа,55
другу,55
делает,55
вошла,55
вопросительно,55
возможности,55
боялся,55
Хорошо,55
От,55
Вера,55
se,55
moi,55
частью,54
твердо,54
сквозь,54
свет,54
проговорила,54
окна,54
нашел,54
милая,54
какого,54
десять,54
дворе,54
вернулся,54
армией,54
Ростовым,54
Павловны,54
Зачем,54
Ваше,54
être,54
шагов,53
числа,53
страха,53
событие,53
смеясь,53
пять,53
приятно,53
принял,53
приказал,53
ошибочно,53
нашего,53
лицах,53
звук,53
заметив,53
женщина,53
денег,53
гр,53
головы,53
Петербурга,53
Андреем,53
улыбка,52
серьезно,52
просить,52
происходило,52
необходимо,52
мнение,52
мере,52
крик,52
значит,52
доктора,52
делалось,52
голосов,52
возможность,52
вечером,52
Наполеону,52
ah,52
этими,51
третий,51
событий,51
прошу,51
приезда,51
подъехал,51
первое,51
однако,51
огонь,51
общество,51
неловко,51
моей,51
командира,51
здоровье,51
жене,51
едва,51
держал,51
гору,51
генералу,51
вчера,51
большую,51
Соню,51
Солдаты,51
s,51
таком,50
стороне,50
принять,50
партии,50
отцу,50
мыслей,50
заговорил,50
другая,50
генералов,50
взять,50
ваш,50
Тушин,50
Соней,50
Надо,50
Где,50
Василия,50
y,50
целью,49
сознание,49
силах,49
оттуда,49
отношения,49
отвечать,49
навстречу,49
мои,49
моего,49
маленькой,49
город,49
говорите,49
верхом,49
Марью,49
Даву,49
très,49
этою,48
читал,48
